song_id,artist,title,status,skip_reason
1000-days__sally-sally,1000 Days,Sally Sally,skipped,no_original_lyrics
3oh-3__double-vision,3OH!3,Double Vision,partial,
5-seconds-of-summer__want-you-back,5 Seconds of Summer,Want You Back,partial,
60-cyclists__tokiboo,60 Cyclists,Tokiboo,skipped,no_original_lyrics
a-cursive-memory__everything,A Cursive Memory,Everything,partial,
an21-and-max-vangeli__real-people,AN21 and Max Vangeli,Real People,skipped,no_original_lyrics
abra-moore__big-sky,Abra Moore,Big Sky,partial,
acceptance__this-conversation-is-over,Acceptance,This Conversation Is Over,partial,
airborne-toxic-event__changing,Airborne Toxic Event,Changing,skipped,no_original_lyrics
all-time-low__time-bomb,All Time Low,Time-Bomb,skipped,no_original_lyrics
aly-aj__chemicals-react,Aly & AJ,Chemicals React,skipped,no_original_lyrics
audrye-sessions__turn-me-off,Audrye Sessions,Turn Me Off,skipped,no_original_lyrics
barenaked-ladies__easy,Barenaked Ladies,Easy,skipped,no_original_lyrics
barenaked-ladies__what-a-letdown,Barenaked Ladies,What A Letdown,skipped,no_original_lyrics
barenaked-ladies__wind-it-up,Barenaked Ladies,Wind It Up,skipped,no_original_lyrics
black-cards__dominoes,Black Cards,Dominoes,skipped,no_original_lyrics
black-eyed-peas__countdown,Black Eyed Peas,Countdown,skipped,no_original_lyrics
black-eyed-peas__friddy-dope,Black Eyed Peas,Friddy Dope,skipped,no_original_lyrics
black-eyed-peas__games,Black Eyed Peas,Games,skipped,no_original_lyrics
black-eyed-peas__jaba-dew-wah,Black Eyed Peas,Jaba Dew Wah,skipped,no_original_lyrics
black-eyed-peas__let-s-go,Black Eyed Peas,Let's Go,skipped,no_original_lyrics
black-eyed-peas__peace-with-love,Black Eyed Peas,Peace With Love,skipped,no_original_lyrics
black-eyed-peas__shut-uprah,Black Eyed Peas,Shut Uprah,skipped,no_original_lyrics
black-eyed-peas__steppin,Black Eyed Peas,Steppin,skipped,no_original_lyrics
bob-schneider__getting-better,Bob Schneider,Getting Better,skipped,no_original_lyrics
boombox-breakdown__simpatico,Boombox Breakdown,Simpatico,skipped,no_original_lyrics
brazil__candles-cast-long-shadows,Brazil,Candles (Cast Long Shadows),skipped,no_original_lyrics
bring-the-kids-out__it-wouldn-t-be-so-bad,Bring The Kids Out,It Wouldn't Be So Bad,skipped,no_original_lyrics
bring-the-kids-out__touch-and-go,Bring The Kids Out,Touch and Go,skipped,no_original_lyrics
broken-heart-college__na-na-na,Broken Heart College,Na Na Na,skipped,no_original_lyrics
bryan-rice__there-for-you,Bryan Rice,There for You,skipped,no_original_lyrics
caitlin-hart__is-she-better,Caitlin Hart,Is She Better,skipped,no_original_lyrics
cassie-steele__summer-nights,Cassie Steele,Summer Nights,skipped,no_original_lyrics
castaneda__radio,Castaneda,Radio,skipped,no_original_lyrics
charice__pyramid,Charice,Pyramid,skipped,no_original_lyrics
charlotte-martin__beautiful-life,Charlotte Martin,Beautiful Life,skipped,no_original_lyrics
chiddy-bang__here-we-go,Chiddy Bang,Here We Go,skipped,no_original_lyrics
chiodos__is-it-progression-if-a-cannibal-uses-a-fork,Chiodos,Is It Progression If a Cannibal Uses a Fork?,skipped,no_original_lyrics
chris-seifert__wavetrap,Chris Seifert,Wavetrap,skipped,simlish_original_no_english
chromeo__fancy-footwork,Chromeo,Fancy Footwork,skipped,no_original_lyrics
circa-survive__everyway,Circa Survive,Everyway,skipped,no_original_lyrics
cowboy-troy__i-play-chicken-with-the-train,Cowboy Troy,I Play Chicken with the Train,skipped,no_original_lyrics
crystal-paws__simfinity,Crystal Paws,Simfinity,skipped,no_original_lyrics
crystal-paws__temporal-tonic,Crystal Paws,Temporal Tonic,skipped,no_original_lyrics
cut-copy__future,Cut Copy,Future,skipped,no_original_lyrics
cut-copy__future_2,Cut Copy,Future,skipped,no_original_lyrics
daisy-dares-you__number-one-enemy,Daisy Dares You,Number One Enemy,skipped,no_original_lyrics
datarock__fa-fa-fa,Datarock,Fa-Fa-Fa,skipped,no_original_lyrics
dena-deadly__fortuzala,Dena Deadly,Fortuzala,skipped,simlish_original_no_english
depeche-mode__suffer-well,Depeche Mode,Suffer Well,skipped,no_original_lyrics
dexter-freebish__pretty-people,Dexter Freebish,Pretty People,skipped,no_original_lyrics
does-it-offend-you-yeah__battle-royale,"Does It Offend You, Yeah?",Battle Royale,skipped,no_original_lyrics
electrolightz__miss-outta-control,Electrolightz,Miss Outta Control,skipped,no_original_lyrics
eli-paperboy-reed__come-and-get-it,"Eli ""Paperboy"" Reed",Come And Get it,skipped,no_original_lyrics
eliza-doolittle__rollerblades,Eliza Doolittle,Rollerblades,skipped,no_original_lyrics
emanuel__anathamatics,Emanuel,Anathamatics,skipped,no_original_lyrics
epoxies__synthesized,Epoxies,Synthesized,skipped,no_original_lyrics
esmee-denters__outta-here,Esmee Denters,Outta Here,skipped,no_original_lyrics
evan-taubenfeld__pumpkin-pie,Evan Taubenfeld,Pumpkin Pie,skipped,no_original_lyrics
fefe-dobson__i-want-you,Fefe Dobson,I Want You,skipped,no_original_lyrics
finley__run-away,Finley,Run Away,skipped,no_original_lyrics
fire-flies__it-s-a-party,Fire Flies,It's A Party,skipped,no_original_lyrics
flyleaf__cassie,Flyleaf,Cassie,skipped,no_original_lyrics
foxy-shazam__unstoppable,Foxy Shazam,Unstoppable,skipped,no_original_lyrics
friday-night-boys__can-t-take-that-away,Friday Night Boys,Can't Take That Away,skipped,no_original_lyrics
fun-ft-janelle-monae__we-are-young,Fun ft. Janelle Monae,We Are Young,skipped,no_original_lyrics
gabriella-cilmi__sweet-about-me,Gabriella Cilmi,Sweet About Me,skipped,no_original_lyrics
ghostland-observatory__club-soda,Ghostland Observatory,Club Soda,skipped,no_original_lyrics
go-betty-go__very-very-rich-town,Go Betty Go,Very Very Rich Town,skipped,no_original_lyrics
good-charlotte__where-would-we-be-now,Good Charlotte,Where Would We Be Now,skipped,no_original_lyrics
government-mule__mr-high-and-mighty,Government Mule,Mr. High And Mighty,skipped,no_original_lyrics
grace-vanderwaal__moonlight,Grace VanderWaal,Moonlight,skipped,no_original_lyrics
great-northern__into-the-sun,Great Northern,Into The Sun,skipped,no_original_lyrics
hadag-nahash__lo-maspik,Hadag Nahash,Lo Maspik,skipped,no_original_lyrics
hadouken__m-a-d,Hadouken!,M.A.D.,skipped,no_original_lyrics
hal-linton__lock-my-heart-down,Hal Linton,Lock My Heart Down,skipped,no_original_lyrics
he-is-we__happily-ever-after,He Is We,Happily Ever After,skipped,no_original_lyrics
hot-chelle-rae__say,Hot Chelle Rae,Say,skipped,no_original_lyrics
hot-chip__colours,Hot Chip,Colours,skipped,no_original_lyrics
hot-chip__colours_2,Hot Chip,Colours,skipped,no_original_lyrics
hot-chip__so-glad-to-see-you,Hot Chip,So Glad To See You,skipped,no_original_lyrics
hot-chip__so-glad-to-see-you_2,Hot Chip,So Glad To See You,skipped,no_original_lyrics
howard-jones__things-can-only-get-better,Howard Jones,Things Can Only Get Better,skipped,no_original_lyrics
i-m-from-barcelona__britney,I'm From Barcelona,Britney,skipped,no_original_lyrics
isabelle-huang__hit-it,Isabelle Huang,Hit It,skipped,no_original_lyrics
j-greco__snatch,J Greco,Snatch,skipped,simlish_original_no_english
jacen-touchstone__glowstick,Jacen Touchstone,Glowstick,skipped,simlish_original_no_english
jacen-touchstone__glowstick-juice,Jacen Touchstone,Glowstick Juice,skipped,simlish_original_no_english
jacen-touchstone__indogoth,Jacen Touchstone,Indogoth,skipped,simlish_original_no_english
jacen-touchstone__tissy-wawa,Jacen Touchstone,Tissy Wawa,skipped,simlish_original_no_english
jacob-plant-featuring-annaca__reach-you,Jacob Plant featuring Annaca,Reach You,skipped,no_original_lyrics
